ID	Date House was Sold	Sale Price	No of Bedrooms	No of Bathrooms	Flat Area (in Sqft)	Lot Area (in Sqft)	No of Floors	Waterfront View	No of Times Visited	Condition of the House	Overall Grade	Area of the House from Basement (in Sqft)	Basement Area (in Sqft)	Age of House (in Years)	Renovated Year	Zipcode	Latitude	Longitude	Living Area after Renovation (in Sqft)	Lot Area after Renovation (in Sqft)
7129300520	14 October 2017	221900	3	1	1180	5650	1	No	None	Fair	7	1180	0	63	0	98178	47.5112	-122.257	1340	5650
6414100192	14 December 2017	538000	3	2.25	2570	7242	2	No	None	Fair	7	2170	400	67	1991	98125	47.721	-122.319	1690	7639
5631500400	15 February 2016	180000	2	1	770	10000	1	No	None	Fair	6	770	0	85	0	98028	47.7379	-122.233	2720	8062
2487200875	14 December 2017	604000	4	3	1960	5000	1	No	None	Excellent	7	1050	910	53	0	98136	47.5208	-122.393	1360	5000
1954400510	15 February 2016	510000	3	2	1680	8080	1	No	None	Fair	8	1680	0	31	0	98074	47.6168	-122.045	1800	7503
7237550310	14 May 2017	1.23E+06	4	4.5	5420	101930	1	No	None	Fair	10	3890	1530	17	0	98053	47.6561	-122.005	4760	101930
1321400060	14 June 2017	257500	3	2.25	1715	6819	2	No	None	Fair	7	1715	0	23	0	98003	47.3097	-122.327	2238	6819
2008000270	15 January 2016	291850	3	1.5	1060	9711	1	No	None	Fair	7	1060	0	55	0	98198	47.4095	-122.315	1650	9711
2414600126	15 April 2016	229500	3	1	1780	7470	1	No	None	Fair	7	1050	730	58	0	98146	47.5123	-122.337	1780	8113
3793500160	15 March 2016	323000	3	2.5	1890	6560	2	No	None	Fair	7	1890	0	15	0	98038	47.3684	-122.031	2390	7570
1736800520	15 April 2016	662500	3	2.5	3560	9796	1	No	None	Fair	8	1860	1700	53	0	98007	47.6007	-122.145	2210	8925
9212900260	14 May 2017	468000	2	1	1160	6000	1	No	None	Good	7	860	300	76	0	98115	47.69	-122.292	1330	6000
114101516	14 May 2017	310000	3	1	1430	19901	1.5	No	None	Good	7	1430	0	91	0	98028	47.7558	-122.229	1780	12697
6054650070	14 October 2017	400000	3	1.75	1370	9680	1	No	None	Good	7	1370	0	41	0	98074	47.6127	-122.045	1370	10208
1175000570	15 March 2016	530000	5	2	1810	4850	1.5	No	None	Fair	7	1810	0	118	0	98107	47.67	-122.394	1360	4850
9297300055	15 January 2016	650000	4	3	2950	5000	2	No	Thrice	Fair	9	1980	970	39	0	98126	47.5714	-122.375	2140	4000
1875500060	14 July 2017	395000	3	2	1890	14040	2	No	None	Fair	7	1890	0	24	0	98019	47.7277	-121.962	1890	14018
6865200140	14 May 2017	485000	4	1	1600	4300	1.5	No	None	Good	7	1600	0	102	0	98103	47.6648	-122.343	1610	4300
16000397	14 December 2017	189000	2	1	1200	9850	1	No	None	Good	7	1200	0	97	0	98002	47.3089	-122.21	1060	5095
7983200060	15 April 2016	230000	3	1	1250	9774	1	No	None	Good	7	1250	0	49	0	98003	47.3343	-122.306	1280	8850
6300500875	14 May 2017	385000	4	1.75	1620	4980	1	No	None	Good	7	860	760	71	0	98133	47.7025	-122.341	1400	4980
2524049179	14 August 2017	2E+06	3	2.75	3050	44867	1	No	Four	Fair	9	2330	720	50	0	98040	47.5316	-122.233	4110	20336
7137970340	14 July 2017	285000	5	2.5	2270	6300	2	No	None	Fair	8	2270	0	23	0	98092	47.3266	-122.169	2240	7005
8091400200	14 May 2017	252700	2	1.5	1070	9643	1	No	None	Fair	7	1070	0	33	0	98030	47.3533	-122.166	1220	8386
3814700200	14 November 2017	329000	3	2.25	2450	6500	2	No	None	Good	8	2450	0	33	0	98030	47.3739	-122.172	2200	6865
1202000200	14 November 2017	233000	3	2	1710	4697	1.5	No	None	Excellent	6	1710	0	77	0	98002	47.3048	-122.218	1030	4705
1794500383	14 June 2017	937000	3	1.75	2450	2691	2	No	None	Fair	8	1750	700	103	0	98119	47.6386	-122.36	1760	3573
3303700376	14 December 2017	667000	3	1	1400	1581	1.5	No	None	Excellent	8	1400	0	109	0	98112	47.6221	-122.314	1860	3861
5101402488	14 June 2017	438000	3	1.75	1520	6380	1	No	None	Fair	7	790	730	70	0	98115	47.695	-122.304	1520	6235
1873100390	15 March 2016	719000	4	2.5	2570	7173	2	No	None	Fair	8	2570	0	13	0	98052	47.7073	-122.11	2630	6026
8562750320	14 November 2017	580500	3	2.5	2320	3980	2	No	None	Fair	8	2320	0	15	0	98027	47.5391	-122.07	2580	3980
2426039314	14 December 2017	280000	2	1.5	1190	1265	3	No	None	Fair	7	1190	0	13	0	98133	47.7274	-122.357	1390	1756
461000390	14 June 2017	687500	4	1.75	2330	5000	1.5	No	None	Good	7	1510	820	89	0	98117	47.6823	-122.368	1460	5000
7589200193	14 November 2017	535000	3	1	1090	3000	1.5	No	None	Good	8	1090	0	89	0	98117	47.6889	-122.375	1570	5080
7955080270	14 December 2017	322500	4	2.75	2060	6659	1	No	None	Fair	7	1280	780	37	0	98058	47.4276	-122.157	2020	8720
9547205180	14 June 2017	696000	3	2.5	2300	3060	1.5	No	None	Fair	8	1510	790	88	2002	98115	47.6827	-122.31	1590	3264
9435300030	14 May 2017	550000	4	1	1660	34848	1	No	None	Bad	5	930	730	85	0	98052	47.6621	-122.132	2160	11467
2768000400	14 December 2017	640000	4	2	2360	6000	2	No	None	Good	8	2360	0	114	0	98107	47.6702	-122.362	1730	4700
7895500070	15 February 2016	240000	4	1	1220	8075	1	No	None	Okay	7	890	330	49	0	98001	47.3341	-122.282	1290	7800
